text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
f0ckers,fuck,sexual anatomy / sexual acts,2.2,Strong,f0ckers
finger fuck,fuck,sexual anatomy / sexual acts,2.6,Severe,fingerfuck
fucktards,fuck,sexual anatomy / sexual acts,2.6,Severe,fucktards
motherfvcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfvcked
mofuk,motherfucker,other / general insult,2.2,Strong,mofuk
shitbrain,shit,bodily fluids / excrement,2.0,Strong,shitbrain
cholo,cholo,racial / ethnic slurs,1.6,Strong,cholo
motherfuckka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckka
fker,fuck,sexual anatomy / sexual acts,2.4,Strong,fker
shit head,shit,bodily fluids / excrement,1.8,Strong,shithead
kitty puncher,kitty puncher,sexual anatomy / sexual acts,2.2,Strong,kittypuncher
m@derfuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m@derfuck
mfckers,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mfckers
pussy licker,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicker
breasticles,breast,sexual anatomy / sexual acts,1.4,Mild,breasticles
gook,gook,racial / ethnic slurs,2.8,Severe,gook
n3gro,negro,racial / ethnic slurs,2.4,Strong,n3gro
shittyfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,shittyfuck
homo,homosexual,sexual orientation / gender,2.2,Strong,homo
jizzsacks,jizz,sexual anatomy / sexual acts,1.8,Strong,jizzsacks
bitches,bitch,sexual orientation / gender,1.6,Strong,bitches
nuggets,nigger,racial / ethnic slurs,1.2,Mild,nuggets
cocksucker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucker
shitfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucker
fuckass,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckass
molester,molest,sexual anatomy / sexual acts,2.2,Strong,molester
suck off,suck,sexual anatomy / sexual acts,1.8,Strong,suck
fecker,fuck,sexual anatomy / sexual acts,2.2,Strong,fecker
mother fucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucking
analplug,anal,sexual anatomy / sexual acts,2.2,Strong,analplug
penisfcker,penis,sexual anatomy / sexual acts,3.0,Severe,penisfcker
muff,muff,sexual anatomy / sexual acts,1.4,Mild,muff
cunty,cunt,sexual anatomy / sexual acts,2.8,Severe,cunty
fvckwhi,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckwhi
douche bag,douche,other / general insult,1.0,Mild,douchebag
suck my dick,dick,sexual anatomy / sexual acts,2.2,Strong,suckdick
knob3d,knob,sexual anatomy / sexual acts,1.6,Strong,knob3d
coonie,coon,racial / ethnic slurs,2.8,Severe,coonie
cocksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cocksukka
negga,nigger,racial / ethnic slurs,2.8,Severe,negga
ragtard,retard,racial / ethnic slurs,3.0,Severe,ragtard
cockmunch,cock,sexual anatomy / sexual acts,2.2,Strong,cockmunch
trashbitch,bitch,sexual orientation / gender,2.0,Strong,trashbitch
godd@amn,damn,religious offense,1.4,Mild,godd@amn
fcktard,fuck,sexual anatomy / sexual acts,2.8,Severe,fcktard
butt fuck,fuck,sexual anatomy / sexual acts,2.2,Strong,buttfuck
dipsh1t,shit,mental disability,1.6,Strong,dipsh1t
motherfacking,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfacking
douche,douche,sexual anatomy / sexual acts,1.0,Mild,douche
cock tease,cock,sexual anatomy / sexual acts,1.8,Strong,cocktease
cuksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cuksukka
shit3,shit,bodily fluids / excrement,1.0,Mild,shit3
schlong,schlong,sexual anatomy / sexual acts,1.0,Mild,schlong
cyberfucks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfucks
nicka,nigger,racial / ethnic slurs,2.6,Severe,nicka
k..!ke,kike,racial / ethnic slurs,3.0,Severe,k..!ke
sh1tsome,shit,bodily fluids / excrement,1.2,Mild,sh1tsome
shit fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitfucker
shitty,shit,bodily fluids / excrement,1.0,Mild,shitty
k!ke,kike,racial / ethnic slurs,3.0,Severe,k!ke
fuckers,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckers
cyberfukks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfukks
Camel jockey,camel jockey,racial / ethnic slurs,2.8,Severe,Cameljockey
cockhead,cock,sexual anatomy / sexual acts,1.8,Strong,cockhead
w4nker,wank,sexual anatomy / sexual acts,1.0,Mild,w4nker
god dammit,damn,religious offense,1.6,Strong,goddammit
phaggot,faggot,sexual orientation / gender,2.8,Severe,phaggot
sausage jockey,sausage jockey,sexual anatomy / sexual acts,2.6,Severe,sausagejockey
dick-head,dick,sexual anatomy / sexual acts,1.8,Strong,dick-head
m@derfaker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m@derfaker
twat waffle,twat,sexual anatomy / sexual acts,2.0,Strong,twatwaffle
ja1lbait,jailbait,physical attributes,1.0,Mild,ja1lbait
cum goon,cum,sexual anatomy / sexual acts,2.0,Strong,cumgoon
fucking asshole,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckingasshole
twat,twat,sexual anatomy / sexual acts,1.8,Strong,twat
jackoff,jack off,sexual anatomy / sexual acts,2.0,Strong,jackoff
dipshitty,shit,bodily fluids / excrement,1.8,Strong,dipshitty
cawk muncher,cock,sexual anatomy / sexual acts,2.4,Strong,cawkmuncher
b！tch,bitch,sexual orientation / gender,1.4,Mild,b！tch
bollock,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollock
d!ld0,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ld0
shitd1ck,shit,sexual anatomy / sexual acts,2.0,Strong,shitd1ck
muthafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckers
sh1tty,shit,bodily fluids / excrement,1.2,Mild,sh1tty
muddafukkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muddafukkas
m0thafucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m0thafucking
n1gger,nigger,racial / ethnic slurs,3.0,Severe,n1gger
feg,faggot,sexual orientation / gender,2.4,Strong,feg
g@ylord,gay,sexual orientation / gender,1.8,Strong,g@ylord
tadger,tadger,sexual anatomy / sexual acts,1.4,Mild,tadger
c0cksucker,cock,sexual anatomy / sexual acts,2.2,Strong,c0cksucker
m0therfucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0therfucking
gaytard,gay,sexual orientation / gender,2.8,Severe,gaytard
jiggabu,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggabu
shite,shit,bodily fluids / excrement,1.0,Mild,shite
fvckers,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckers
sh1tfuck,fuck,other / general insult,2.6,Severe,sh1tfuck
motherfckshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfckshit
analingus,anal,sexual anatomy / sexual acts,1.6,Strong,analingus
fckked,fuck,sexual anatomy / sexual acts,2.0,Strong,fckked
f_u_c_k,fuck,sexual anatomy / sexual acts,2.2,Strong,f_u_c_k
motherfuck,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfuck
shet,shit,bodily fluids / excrement,1.0,Mild,shet
spik,spic,racial / ethnic slurs,3.0,Severe,spik
bumhole,bum,sexual anatomy / sexual acts,1.0,Mild,bumhole
motherfucks,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucks
mothafucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucking
man chowder,man chowder,bodily fluids / excrement,1.0,Mild,manchowder
abeed,abeed,racial / ethnic slurs,1.8,Strong,abeed
niggers,nigger,racial / ethnic slurs,3.0,Severe,niggers
slantfreak,slant eye,racial / ethnic slurs,2.6,Severe,slantfreak
l@dyboy,ladyboy,sexual orientation / gender,2.0,Strong,l@dyboy
redskin,redskin,racial / ethnic slurs,2.2,Strong,redskin
doggo style,doggy style,sexual anatomy / sexual acts,1.2,Mild,doggostyle
assfook,ass,sexual anatomy / sexual acts,2.6,Severe,assfook
niggazzes,nigger,racial / ethnic slurs,2.8,Severe,niggazzes
fucs,fuck,sexual anatomy / sexual acts,2.4,Strong,fucs
dild0,dildo,sexual anatomy / sexual acts,1.0,Mild,dild0
jizzing,jizz,bodily fluids / excrement,1.6,Strong,jizzing
fucx,fuck,sexual anatomy / sexual acts,2.2,Strong,fucx
kikes,kike,racial / ethnic slurs,3.0,Severe,kikes
cumslut,cum,bodily fluids / excrement,2.8,Severe,cumslut
shiesterfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuck
cocksuccer,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccer
crotchy,crotch,sexual anatomy / sexual acts,1.4,Mild,crotchy
wnker,wank,sexual anatomy / sexual acts,1.0,Mild,wnker
5kank,skank,sexual orientation / gender,2.0,Strong,5kank
shitheadfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitheadfucker
fuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckhead
shited,shit,bodily fluids / excrement,1.2,Mild,shited
scut,scut,other / general insult,1.0,Mild,scut
whoar,whore,sexual orientation / gender,1.8,Strong,whoar
stupid fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,stupidfucker
dickless,dick,sexual anatomy / sexual acts,1.4,Mild,dickless
phuqs,fuck,sexual anatomy / sexual acts,1.8,Strong,phuqs
cocksuckas,cock,sexual anatomy / sexual acts,2.4,Strong,cocksuckas
what the fuck,fuck,other / general insult,2.2,Strong,fuck
mindfuck,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mindfuck
nikkas,nigger,racial / ethnic slurs,3.0,Severe,nikkas
phuccer,fuck,sexual anatomy / sexual acts,2.2,Strong,phuccer
phuq,fuck,sexual anatomy / sexual acts,2.2,Strong,phuq
dix,dick,sexual anatomy / sexual acts,1.0,Mild,dix
fxck,fuck,sexual anatomy / sexual acts,1.6,Strong,fxck
ass muncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
fuckstick,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstick
anal hole,anal,sexual anatomy / sexual acts,2.2,Strong,analhole
fudgepacking fucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackingfucker
motherfuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckings
phukshit,fuck,sexual anatomy / sexual acts,2.2,Strong,phukshit
hoar,whore,sexual orientation / gender,1.8,Strong,hoar
phukings,fuck,sexual anatomy / sexual acts,2.2,Strong,phukings
g0ddamnit,damn,religious offense,1.0,Mild,g0ddamnit
ballbag,bollocks,sexual anatomy / sexual acts,1.0,Mild,ballbag
s/h/i/t,shit,bodily fluids / excrement,1.0,Mild,s/h/i/t
nig,nigger,racial / ethnic slurs,3.0,Severe,nig
bastid,bastard,other / general insult,1.2,Mild,bastid
c00nies,coon,racial / ethnic slurs,2.6,Severe,c00nies
phuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,phuckin
piss shit,piss,bodily fluids / excrement,1.4,Mild,pissshit
fucca,fuck,sexual anatomy / sexual acts,2.0,Strong,fucca
dog fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,dogfucker
shittyful,shit,bodily fluids / excrement,1.6,Strong,shittyful
arse-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fuckers
shittastic,shit,bodily fluids / excrement,1.2,Mild,shittastic
azzhole,ass,sexual anatomy / sexual acts,1.6,Strong,azzhole
cocksuccas,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccas
pancake face,pancake face,racial / ethnic slurs,1.6,Strong,pancakeface
buttermilk,buttermilk,racial / ethnic slurs,1.4,Mild,buttermilk
doggy style,doggy style,sexual anatomy / sexual acts,1.4,Mild,doggystyle
tongue fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,tonguefucker
nigg@,nigger,racial / ethnic slurs,2.8,Severe,nigg@
punkasses,ass,other / general insult,1.2,Mild,punkasses
cocks,cock,sexual anatomy / sexual acts,1.6,Strong,cocks
bates,masturbate,sexual anatomy / sexual acts,1.0,Mild,bates
gayness,gay,sexual orientation / gender,1.4,Mild,gayness
douchebag,douche,sexual anatomy / sexual acts,1.4,Mild,douchebag
fuckboy,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckboy
nuckas,nigger,racial / ethnic slurs,2.6,Severe,nuckas
cuntasaurus rex,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntasaurusrex
doosh,douche,bodily fluids / excrement,1.4,Mild,doosh
nigguh,nigger,racial / ethnic slurs,2.8,Severe,nigguh
shitsdick,shit,sexual anatomy / sexual acts,1.8,Strong,shitsdick
useless fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,uselessfucker
shemales,shemale,sexual orientation / gender,1.8,Strong,shemales
butt-munchers,butt,sexual anatomy / sexual acts,2.0,Strong,butt-munchers
cock snot,cock,sexual anatomy / sexual acts,2.2,Strong,cocksnot
pole licker,pole licker,sexual anatomy / sexual acts,2.2,Strong,polelicker
cockheads,cock,sexual anatomy / sexual acts,2.4,Strong,cockheads
s_h_i_,shit,bodily fluids / excrement,1.2,Mild,s_h_i_
dickface,dick,sexual anatomy / sexual acts,2.0,Strong,dickface
bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollocks
goddamn mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,goddamnmothafuckers
trouser snake,trouser snake,sexual anatomy / sexual acts,1.0,Mild,trousersnake
knobeds,knob,sexual anatomy / sexual acts,1.8,Strong,knobeds
nutsacks,nutsack,sexual anatomy / sexual acts,1.6,Strong,nutsacks
trasherbitch,bitch,sexual orientation / gender,1.4,Mild,trasherbitch
gowl,gowl,other / general insult,1.6,Strong,gowl
cockmuncher,cock,sexual anatomy / sexual acts,1.8,Strong,cockmuncher
ass-bandit,ass,sexual anatomy / sexual acts,1.8,Strong,ass-bandit
arsefucker,fuck,sexual anatomy / sexual acts,2.6,Severe,arsefucker
goddamn son of a bitch,damn,religious offense,2.2,Strong,goddamnsonbitch
mothafuckeds,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuckeds
knob-head,knob,sexual anatomy / sexual acts,2.0,Strong,knob-head
shitbird,shit,bodily fluids / excrement,1.8,Strong,shitbird
assmuncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
sh1th3ad,shit,bodily fluids / excrement,2.0,Strong,sh1th3ad
spicfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,spicfuck
twats,twat,sexual anatomy / sexual acts,1.6,Strong,twats
shit-arse,shit,sexual anatomy / sexual acts,1.6,Strong,shit-arse
anilingus,anal,sexual anatomy / sexual acts,1.8,Strong,anilingus
sh! +,shit,bodily fluids / excrement,1.2,Mild,sh!+
skanks,skank,sexual orientation / gender,1.2,Mild,skanks
sons-of-bitches,bitch,other / general insult,1.4,Mild,sons-of-bitches
spooks,spook,racial / ethnic slurs,2.6,Severe,spooks
b1tch3s,bitch,sexual orientation / gender,1.4,Mild,b1tch3s
axe wound,wound,sexual anatomy / sexual acts,1.2,Mild,axewound
cumming,cum,bodily fluids / excrement,1.6,Strong,cumming
sheeeet,shit,bodily fluids / excrement,1.0,Mild,sheeeet
fcker,fuck,sexual anatomy / sexual acts,2.2,Strong,fcker
creampie,creampie,sexual anatomy / sexual acts,2.2,Strong,creampie
motherfckin,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfckin
n1gg3rs,nigger,racial / ethnic slurs,3.0,Severe,n1gg3rs
mongrel,mongrel,racial / ethnic slurs,2.6,Severe,mongrel
fuckmachine,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckmachine
swine fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,swinefucker
jack-offs,jack off,sexual anatomy / sexual acts,1.4,Mild,jack-offs
cockeater,cock,sexual anatomy / sexual acts,2.2,Strong,cockeater
nip,nipple,sexual anatomy / sexual acts,2.0,Strong,nip
fuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk
retardotron,retard,mental disability,1.8,Strong,retardotron
cockgobbler,cock,sexual anatomy / sexual acts,1.8,Strong,cockgobbler
sk@nks,skank,sexual orientation / gender,1.6,Strong,sk@nks
assfvcker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfvcker
phukkeds,fuck,sexual anatomy / sexual acts,2.0,Strong,phukkeds
biotchez,bitch,sexual orientation / gender,1.4,Mild,biotchez
nobjokey,knob,sexual anatomy / sexual acts,2.0,Strong,nobjokey
gaysian,gay,sexual orientation / gender,2.6,Severe,gaysian
stupid hoe,hoe,sexual orientation / gender,2.4,Strong,stupidhoe
nigasses,nigger,racial / ethnic slurs,3.0,Severe,nigasses
nut butter,nut butter,bodily fluids / excrement,1.4,Mild,nutbutter
bean queen,bean queen,racial / ethnic slurs,2.2,Strong,beanqueen
cock head,cock,sexual anatomy / sexual acts,2.0,Strong,cockhead
cyberfukk,fuck,sexual anatomy / sexual acts,2.0,Strong,cyberfukk
mofuckkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofuckkas
cockhed,cock,sexual anatomy / sexual acts,2.0,Strong,cockhed
m0f0,motherfucker,sexual anatomy / sexual acts,2.0,Strong,m0f0
fcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fcked
shittasticfuck,fuck,bodily fluids / excrement,2.2,Strong,shittasticfuck
pole smoker,pole smoker,sexual anatomy / sexual acts,2.0,Strong,polesmoker
ass hole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
fucking retard,fuck,sexual anatomy / sexual acts,3.0,Severe,fuckingretard
w@nker,wank,sexual anatomy / sexual acts,1.2,Mild,w@nker
slut,slut,sexual orientation / gender,2.0,Strong,slut
prick,prick,sexual anatomy / sexual acts,1.0,Mild,prick
sk@nky,skank,sexual orientation / gender,1.0,Mild,sk@nky
assfukker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfukker
f@gging,faggot,sexual orientation / gender,2.8,Severe,f@gging
jerkoff jerking off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffjerking
fvck,fuck,sexual anatomy / sexual acts,1.8,Strong,fvck
n1g3rz,nigger,racial / ethnic slurs,3.0,Severe,n1g3rz
d!cks,dick,sexual anatomy / sexual acts,1.0,Mild,d!cks
arse-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fucker
shites,shit,bodily fluids / excrement,1.0,Mild,shites
transvestite,transvestite,sexual orientation / gender,2.4,Strong,transvestite
fcuking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuking
shitti,shit,bodily fluids / excrement,1.0,Mild,shitti
nigg3r,nigger,racial / ethnic slurs,3.0,Severe,nigg3r
pigfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,pigfuckers
shitfaced,shit,bodily fluids / excrement,1.2,Mild,shitfaced
@55,ass,sexual anatomy / sexual acts,1.0,Mild,@55
jerk-0ffs,jerk off,sexual anatomy / sexual acts,1.4,Mild,jerk-0ffs
rim job,rim job,sexual anatomy / sexual acts,2.0,Strong,rimjob
kneegrows,negro,racial / ethnic slurs,2.8,Severe,kneegrows
jiggaboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggaboos
spanking,spank,sexual anatomy / sexual acts,1.0,Mild,spanking
fucc,fuck,sexual anatomy / sexual acts,2.0,Strong,fucc
tw@t,twat,sexual anatomy / sexual acts,1.8,Strong,tw@t
cocksuka,cock,sexual anatomy / sexual acts,2.0,Strong,cocksuka
bangbros,bang,sexual anatomy / sexual acts,1.6,Strong,bangbros
dumbass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,dumbassfucker
arsefuck,fuck,sexual anatomy / sexual acts,2.8,Severe,arsefuck
penisfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfuckers
goddamn son-of-a-bitch,damn,religious offense,1.4,Mild,goddamnson-of-a-bitch
knobendy,knob,sexual anatomy / sexual acts,1.6,Strong,knobendy
assfkr,ass,sexual anatomy / sexual acts,2.2,Strong,assfkr
sh3mal3,shemale,sexual orientation / gender,2.6,Severe,sh3mal3
p3nisfcukers,fuck,sexual anatomy / sexual acts,2.8,Severe,p3nisfcukers
fked,fuck,sexual anatomy / sexual acts,2.0,Strong,fked
assfuck3r,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuck3r
fuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckin
pussy licking,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicking
fucker off,fuck,sexual anatomy / sexual acts,2.0,Strong,fucker
mthrfcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mthrfcker
shiat,shit,bodily fluids / excrement,1.0,Mild,shiat
nigger lover,nigger,racial / ethnic slurs,3.0,Severe,niggerlover
fxcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcking
chesticles,testicles,sexual anatomy / sexual acts,1.0,Mild,chesticles
wanking,wank,sexual anatomy / sexual acts,1.0,Mild,wanking
s.o.b.,bitch,other / general insult,1.2,Mild,s.o.b.
f@g,faggot,sexual orientation / gender,2.8,Severe,f@g
motherfuckins,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckins
son o bitch,bitch,sexual orientation / gender,1.6,Strong,sonbitch
knobjokey,knob,sexual orientation / gender,2.6,Severe,knobjokey
carpetmunchers,carpet muncher,sexual orientation / gender,2.2,Strong,carpetmunchers
b1tchin,bitch,other / general insult,1.2,Mild,b1tchin
pu$sy,pussy,sexual anatomy / sexual acts,1.6,Strong,pu$sy
jizzstain,jizz,bodily fluids / excrement,2.8,Severe,jizzstain
clusterfucks,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucks
jizz-jockey,jizz,bodily fluids / excrement,2.2,Strong,jizz-jockey
dick milker,dick,sexual anatomy / sexual acts,2.2,Strong,dickmilker
skank,skank,sexual orientation / gender,1.8,Strong,skank
motherfcking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfcking
polesmoker,polesmoker,sexual anatomy / sexual acts,2.2,Strong,polesmoker
fckedup,fuck,sexual anatomy / sexual acts,2.0,Strong,fckedup
c0cksucked,cock,sexual anatomy / sexual acts,2.0,Strong,c0cksucked
shittyfuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,shittyfuckface
fothermuckers,motherfucker,sexual anatomy / sexual acts,1.8,Strong,fothermuckers
4r5es,arse,sexual anatomy / sexual acts,1.4,Mild,4r5es
fuckup,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckup
sk@nkz,skank,sexual orientation / gender,1.4,Mild,sk@nkz
neggar,nigger,racial / ethnic slurs,2.8,Severe,neggar
zip in the wire,zipperhead,racial / ethnic slurs,1.4,Mild,zipwire
goddammit,damn,religious offense,1.0,Mild,goddammit
knobender,knob,sexual anatomy / sexual acts,2.2,Strong,knobender
sheister,shit,racial / ethnic slurs,2.0,Strong,sheister
mtherfuker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mtherfuker
jiggyboo,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggyboo
nigga lover,nigger,racial / ethnic slurs,3.0,Severe,niggalover
dogie style,doggy style,sexual anatomy / sexual acts,1.0,Mild,dogiestyle
assfvck3r,fuck,sexual anatomy / sexual acts,3.0,Severe,assfvck3r
bonk juice,bonk,bodily fluids / excrement,1.6,Strong,bonkjuice
cuntits,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntits
fucking,fuck,sexual anatomy / sexual acts,2.2,Strong,fucking
cock sucking boiolas,cock,sexual anatomy / sexual acts,2.6,Severe,cocksuckingboiolas
cuntbollock,cunt,sexual anatomy / sexual acts,2.2,Strong,cuntbollock
trashybitches,bitch,sexual orientation / gender,1.8,Strong,trashybitches
scumfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,scumfucker
l3i+ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
blowjob,blowjob,sexual anatomy / sexual acts,1.2,Mild,blowjob
holy fuck,fuck,sexual anatomy / sexual acts,2.0,Strong,holyfuck
sh1ts,shit,bodily fluids / excrement,1.0,Mild,sh1ts
jizzy,jizz,bodily fluids / excrement,1.6,Strong,jizzy
spic,spic,racial / ethnic slurs,3.0,Severe,spic
knob3nd,knob,sexual anatomy / sexual acts,1.2,Mild,knob3nd
hooters,hooters,sexual anatomy / sexual acts,1.0,Mild,hooters
mfk,motherfucker,sexual anatomy / sexual acts,1.6,Strong,mfk
jerk-off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-off
b to the inch,bitch,sexual orientation / gender,1.2,Mild,binch
groper,grope,sexual anatomy / sexual acts,1.4,Mild,groper
cunts,cunt,sexual anatomy / sexual acts,2.6,Severe,cunts
bollocktician,bollocks,sexual anatomy / sexual acts,1.4,Mild,bollocktician
cunnilingus,cunnilingus,sexual anatomy / sexual acts,2.0,Strong,cunnilingus
erectoplasm,erectoplasm,bodily fluids / excrement,1.8,Strong,erectoplasm
fckyeah,fuck,other / general insult,1.6,Strong,fckyeah
motherfecka,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfecka
turdcutter,turd,other / general insult,1.6,Strong,turdcutter
bullshite,shit,bodily fluids / excrement,1.0,Mild,bullshite
cock munch,cock,sexual anatomy / sexual acts,2.0,Strong,cockmunch
aboe,abo,racial / ethnic slurs,1.0,Mild,aboe
fvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,fvcker
bitchlike,bitch,sexual orientation / gender,1.2,Mild,bitchlike
fukin,fuck,sexual anatomy / sexual acts,2.2,Strong,fukin
j-offs,jerk off,sexual anatomy / sexual acts,1.4,Mild,j-offs
cuntless,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntless
jerk-0ff,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-0ff
sh!+,shit,bodily fluids / excrement,1.0,Mild,sh!+
crotch fiddler,crotch,sexual anatomy / sexual acts,2.2,Strong,crotchfiddler
d0ggy style,doggy style,sexual anatomy / sexual acts,1.8,Strong,d0ggystyle
m0f0s,motherfucker,other / general insult,2.4,Strong,m0f0s
mother effer,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothereffer
rice monkey,monkey,racial / ethnic slurs,3.0,Severe,ricemonkey
k1k3,kike,racial / ethnic slurs,3.0,Severe,k1k3
fuck y0u,fuck,sexual anatomy / sexual acts,2.4,Strong,fucky0u
man seed,man seed,bodily fluids / excrement,1.0,Mild,manseed
cumball,cum,bodily fluids / excrement,2.4,Strong,cumball
fucking me,fuck,sexual anatomy / sexual acts,2.2,Strong,fucking
tits,tit,sexual anatomy / sexual acts,1.0,Mild,tits
faggot nobjockies,faggot,sexual orientation / gender,3.0,Severe,faggotnobjockies
motherfuckeds,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckeds
f@ck,fuck,sexual anatomy / sexual acts,1.6,Strong,f@ck
p3nisfvckers,penis,sexual anatomy / sexual acts,2.8,Severe,p3nisfvckers
stfu,fuck,sexual anatomy / sexual acts,1.8,Strong,stfu
assfker,ass,sexual anatomy / sexual acts,2.2,Strong,assfker
gay wad,gay,sexual orientation / gender,2.0,Strong,gaywad
jackasses,ass,sexual anatomy / sexual acts,1.0,Mild,jackasses
twink,twink,sexual orientation / gender,1.2,Mild,twink
spix,spic,racial / ethnic slurs,3.0,Severe,spix
cocksucking mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,cocksuckingmothafuckers
batshit,shit,bodily fluids / excrement,1.0,Mild,batshit
groid,groid,racial / ethnic slurs,2.0,Strong,groid
mothaf@cked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothaf@cked
apeshite,ape,bodily fluids / excrement,1.4,Mild,apeshite
nig-nog,nigger,racial / ethnic slurs,2.8,Severe,nig-nog
